			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
US 75 HOV Southbound	1:00:00	Car	72	100	461	6.4	17.24	0.24	464.85	6.46			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	72	100	461	6.4	17.24	0.24	464.85	6.46			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	1:00:00	Car	6442	100	43057.48	6.68	9321.07	1.45	37765.95	5.86			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6442	100	43099.88	6.69	9325.64	1.45	37807.89	5.87			Truck	5	N/A	42.4	8.48	4.58	0.92	41.94	8.39
US 75 Southbound	1:00:00	Car	6203	100	38008.7	6.13	3597.59	0.58	38919.49	6.27			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6203	100	38050.2	6.13	3600.57	0.58	38962.84	6.28			Truck	6	N/A	41.5	6.92	2.99	0.5	43.34	7.22
Entire System	1:05:00	Car	63159	98.4	477679.03	7.56	94177.97	1.49	288905.84	4.57			Bus	0	0	0	0	0	0	0	0			Rail	1026	1.6	9212.2	8.98	667.99	0.65	8966.79	8.74			Park and Ride	0	0	0	0	0	0	0	0			Total	64185	100	487619.41	7.6	95008.77	1.48	298255.69	4.65			Truck	12	N/A	728.1	60.68	162.82	13.57	382.97	31.91
Greenville Ave Northbound	1:05:00	Car	4538	100	11959.7	2.64	2808.72	0.62	5718.85	1.26			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4538	100	11977.2	2.64	2813.33	0.62	5726.71	1.26			Truck	8	N/A	17.5	2.19	4.6	0.58	7.86	0.98
Greenville Ave Southbound	1:05:00	Car	3192	100	7776.5	2.44	1422.58	0.45	4024.22	1.26			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3192	100	7794.1	2.44	1425.91	0.45	4033.04	1.26			Truck	7	N/A	17.6	2.51	3.32	0.47	8.83	1.26
IH 635 Eastbound	1:05:00	Car	4165	100	18506.81	4.44	3794.22	0.91	16830.27	4.04			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4165	100	18506.81	4.44	3794.22	0.91	16830.27	4.04			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	1:05:00	Car	2772	100	9341.71	3.37	555.65	0.2	10023.44	3.62			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2772	100	9341.71	3.37	555.65	0.2	10023.44	3.62			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	1:05:00	Car	732	100	2286.2	3.12	124.16	0.17	2489.14	3.4			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	732	100	2286.2	3.12	124.16	0.17	2489.14	3.4			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	1:05:00	Car	1104	100	3776.5	3.42	241.13	0.22	4041.2	3.66			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1104	100	3776.5	3.42	241.13	0.22	4041.2	3.66			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	1:05:00	Car	11598	100	18238.89	1.57	5003.87	0.43	9001.22	0.78			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11598	100	18275.7	1.58	5016.91	0.43	9018.09	0.78			Truck	17	N/A	36.8	2.16	13.04	0.77	16.87	0.99
US 75 Frontage Rd Southbound	1:05:00	Car	11258	100	17866.31	1.59	3977.65	0.35	9232.79	0.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11258	100	17881.31	1.59	3980.74	0.35	9241.08	0.82			Truck	11	N/A	15	1.36	3.09	0.28	8.28	0.75
US 75 HOV Northbound	1:05:00	Car	96	100	596.8	6.22	14.65	0.15	613.83	6.39			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	96	100	596.8	6.22	14.65	0.15	613.83	6.39			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	1:05:00	Car	76	100	466.6	6.14	17.26	0.23	471.89	6.21			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	76	100	466.6	6.14	17.26	0.23	471.89	6.21			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	1:05:00	Car	6623	100	43236.81	6.53	9327.65	1.41	37974.35	5.73			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6623	100	43276.31	6.53	9332.35	1.41	38013.05	5.74			Truck	3	N/A	39.5	13.17	4.69	1.56	38.7	12.9
US 75 Southbound	1:05:00	Car	6212	100	38024.73	6.12	3529.27	0.57	39056.33	6.29			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6212	100	38066.93	6.13	3532.2	0.57	39100.6	6.29			Truck	7	N/A	42.2	6.03	2.93	0.42	44.27	6.32
Entire System	1:10:00	Car	63602	98.37	479253.44	7.54	95155.84	1.5	290317.34	4.56			Bus	0	0	0	0	0	0	0	0			Rail	1052	1.63	9436.4	8.97	699.89	0.67	9168.99	8.72			Park and Ride	0	0	0	0	0	0	0	0			Total	64654	100	489463.78	7.57	96029	1.49	299895.41	4.64			Truck	14	N/A	773.9	55.28	173.27	12.38	409.18	29.23
Greenville Ave Northbound	1:10:00	Car	4817	100	12448.5	2.58	2944.36	0.61	5933.86	1.23			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4817	100	12464.6	2.59	2948.74	0.61	5941.02	1.23			Truck	8	N/A	16.1	2.01	4.38	0.55	7.16	0.89
Greenville Ave Southbound	1:10:00	Car	3079	100	7507.29	2.44	1378.71	0.45	3869.12	1.26			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3079	100	7529.69	2.45	1382.76	0.45	3880.2	1.26			Truck	7	N/A	22.4	3.2	4.05	0.58	11.08	1.58
IH 635 Eastbound	1:10:00	Car	4344	100	20042.61	4.61	4425.93	1.02	17868.19	4.11			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4344	100	20042.61	4.61	4425.93	1.02	17868.19	4.11			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	1:10:00	Car	2753	100	9182.71	3.34	551.84	0.2	9848.59	3.58			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2753	100	9182.71	3.34	551.84	0.2	9848.59	3.58			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	1:10:00	Car	782	100	2435.6	3.11	132.24	0.17	2657.07	3.4			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	782	100	2435.6	3.11	132.24	0.17	2657.07	3.4			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	1:10:00	Car	1105	100	3676.3	3.33	234.75	0.21	3935.63	3.56			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1105	100	3676.3	3.33	234.75	0.21	3935.63	3.56			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	1:10:00	Car	11861	100	18553.4	1.56	5195.28	0.44	9062.23	0.76			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11861	100	18596.8	1.57	5209.75	0.44	9082.69	0.77			Truck	19	N/A	43.4	2.28	14.47	0.76	20.46	1.08
US 75 Frontage Rd Southbound	1:10:00	Car	11348	100	17668.71	1.56	3929.9	0.35	9128.76	0.8			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11348	100	17687.71	1.56	3934.47	0.35	9138.78	0.81			Truck	15	N/A	19	1.27	4.57	0.3	10.02	0.67
US 75 HOV Northbound	1:10:00	Car	92	100	533	5.79	12.73	0.14	550.76	5.99			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	92	100	533	5.79	12.73	0.14	550.76	5.99			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	1:10:00	Car	76	100	434.4	5.72	16.72	0.22	436.84	5.75			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	76	100	434.4	5.72	16.72	0.22	436.84	5.75			Truck	0	N/A	0	0	0	0	0	0
