			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
SH 190 Eastbound	1:30:00	Car	971	100	2875.7	2.96	163.74	0.17	3119.19	3.21			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	971	100	2875.7	2.96	163.74	0.17	3119.19	3.21			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	1:30:00	Car	1266	100	3817.7	3.02	244.93	0.19	4078.04	3.22			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1266	100	3817.7	3.02	244.93	0.19	4078.04	3.22			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	1:30:00	Car	13584	100	23616.19	1.74	8594.89	0.63	10136.18	0.75			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	13584	100	23660.19	1.74	8612.68	0.63	10154.64	0.75			Truck	13	N/A	44	3.38	17.78	1.37	18.47	1.42
US 75 Frontage Rd Southbound	1:30:00	Car	10983	100	16499.19	1.5	4118.57	0.37	8190.71	0.75			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	10983	100	16538.1	1.51	4125.79	0.38	8212.35	0.75			Truck	23	N/A	38.9	1.69	7.22	0.31	21.64	0.94
US 75 HOV Northbound	1:30:00	Car	290	100	1617.2	5.58	36.83	0.13	1646.26	5.68			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	290	100	1617.2	5.58	36.83	0.13	1646.26	5.68			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	1:30:00	Car	86	100	576.6	6.7	20.49	0.24	582.56	6.77			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	86	100	576.6	6.7	20.49	0.24	582.56	6.77			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	1:30:00	Car	8326	100	55494.95	6.67	11300.83	1.36	49290.49	5.92			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	8326	100	55539.35	6.67	11306.31	1.36	49333.73	5.93			Truck	6	N/A	44.4	7.4	5.48	0.91	43.24	7.21
US 75 Southbound	1:30:00	Car	5952	100	37943.01	6.37	4458.74	0.75	37470.71	6.3			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	5952	100	37997.71	6.38	4463.15	0.75	37526.82	6.3			Truck	6	N/A	54.7	9.12	4.41	0.73	56.11	9.35
Entire System	1:35:00	Car	65552	98.34	525391.25	8.01	124999.86	1.91	306204.91	4.67			Bus	0	0	0	0	0	0	0	0			Rail	1104	1.66	9582.1	8.68	735.17	0.67	9273.32	8.4			Park and Ride	0	0	0	0	0	0	0	0			Total	66656	100	535709.19	8.04	125924.27	1.89	315864.53	4.74			Truck	20	N/A	736.1	36.81	189.23	9.46	386.49	19.32
Greenville Ave Northbound	1:35:00	Car	5075	100	14153.31	2.79	3351.5	0.66	6755.3	1.33			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	5075	100	14180.91	2.79	3359.9	0.66	6767.54	1.33			Truck	10	N/A	27.6	2.76	8.4	0.84	12.24	1.22
Greenville Ave Southbound	1:35:00	Car	2993	100	7071.4	2.36	1454.87	0.49	3524.09	1.18			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2993	100	7112	2.38	1465.79	0.49	3542.71	1.18			Truck	11	N/A	40.6	3.69	10.93	0.99	18.62	1.69
IH 635 Eastbound	1:35:00	Car	4690	100	30274.26	6.46	12854.89	2.74	19811.24	4.22			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4690	100	30274.26	6.46	12854.89	2.74	19811.24	4.22			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	1:35:00	Car	2971	100	9356.82	3.15	581.8	0.2	10028.79	3.38			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2971	100	9356.82	3.15	581.8	0.2	10028.79	3.38			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	1:35:00	Car	1005	100	2883.71	2.87	165.63	0.16	3133.39	3.12			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1005	100	2883.71	2.87	165.63	0.16	3133.39	3.12			Truck	0	N/A	0	0	0	0	0	0
