			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
SH 190 Westbound	0:35:00	Car	984	100	3526.7	3.58	223.58	0.23	3762.25	3.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	984	100	3526.7	3.58	223.58	0.23	3762.25	3.82			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	0:35:00	Car	10519	100	16351.12	1.55	4044.62	0.38	8362.79	0.8			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	10519	100	16379.22	1.56	4051.21	0.39	8377.82	0.8			Truck	11	N/A	28.1	2.55	6.6	0.6	15.03	1.37
US 75 Frontage Rd Southbound	0:35:00	Car	10825	100	16793.92	1.55	3347.98	0.31	8914.07	0.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	10825	100	16840.02	1.56	3355.63	0.31	8940.48	0.83			Truck	13	N/A	46.1	3.55	7.64	0.59	26.42	2.03
US 75 HOV Northbound	0:35:00	Car	80	100	457.6	5.72	11.49	0.14	459.73	5.75			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	80	100	457.6	5.72	11.49	0.14	459.73	5.75			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	0:35:00	Car	68	100	444.4	6.54	15.37	0.23	446.49	6.57			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	68	100	444.4	6.54	15.37	0.23	446.49	6.57			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	0:35:00	Car	5646	100	38933.1	6.9	9196.48	1.63	33220.07	5.88			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	5646	100	38970.6	6.9	9199	1.63	33259.24	5.89			Truck	6	N/A	37.5	6.25	2.53	0.42	39.17	6.53
US 75 Southbound	0:35:00	Car	5449	100	34222.62	6.28	3358.43	0.62	34783.37	6.38			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	5449	100	34245.42	6.28	3360.17	0.62	34807.07	6.39			Truck	3	N/A	22.8	7.6	1.74	0.58	23.71	7.9
Entire System	0:40:00	Car	60324	98.63	466729.56	7.74	92796.2	1.54	280531.44	4.65			Bus	0	0	0	0	0	0	0	0			Rail	839	1.37	9105.9	10.85	659.08	0.79	8858.22	10.56			Park and Ride	0	0	0	0	0	0	0	0			Total	61163	100	476417.53	7.79	93583.62	1.53	289699.94	4.74			Truck	12	N/A	581.9	48.49	128.35	10.7	310.27	25.86
Greenville Ave Northbound	0:40:00	Car	4326	100	9841.1	2.27	2016.09	0.47	4828.68	1.12			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4326	100	9853.5	2.28	2018.92	0.47	4834.78	1.12			Truck	3	N/A	12.4	4.13	2.83	0.94	6.1	2.03
Greenville Ave Southbound	0:40:00	Car	3057	100	7931.6	2.59	1455.82	0.48	4069.9	1.33			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3057	100	7938.7	2.6	1456.43	0.48	4073.83	1.33			Truck	3	N/A	7.1	2.37	0.62	0.21	3.94	1.31
IH 635 Eastbound	0:40:00	Car	3922	100	17576.21	4.48	3546.6	0.9	16042.28	4.09			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3922	100	17576.21	4.48	3546.6	0.9	16042.28	4.09			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	0:40:00	Car	2722	100	9115.21	3.35	540.02	0.2	9765.94	3.59			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2722	100	9115.21	3.35	540.02	0.2	9765.94	3.59			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	0:40:00	Car	711	100	2254.7	3.17	122.35	0.17	2461.59	3.46			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	711	100	2254.7	3.17	122.35	0.17	2461.59	3.46			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	0:40:00	Car	1097	100	3926.6	3.58	247.56	0.23	4197.59	3.83			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1097	100	3926.6	3.58	247.56	0.23	4197.59	3.83			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	0:40:00	Car	11149	100	17237.11	1.55	4326.47	0.39	8780.01	0.79			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11149	100	17265.51	1.55	4333.17	0.39	8795.19	0.79			Truck	12	N/A	28.4	2.37	6.7	0.56	15.18	1.26
US 75 Frontage Rd Southbound	0:40:00	Car	11311	100	17504.4	1.55	3626.54	0.32	9228.46	0.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11311	100	17548.3	1.55	3633.87	0.32	9253.58	0.82			Truck	14	N/A	43.9	3.14	7.33	0.52	25.12	1.79
US 75 HOV Northbound	0:40:00	Car	92	100	559.6	6.08	14.59	0.16	564.3	6.13			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	92	100	559.6	6.08	14.59	0.16	564.3	6.13			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	0:40:00	Car	76	100	514.4	6.77	18.05	0.24	518.18	6.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	76	100	514.4	6.77	18.05	0.24	518.18	6.82			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	0:40:00	Car	6169	100	42390.21	6.87	10309.83	1.67	35850.23	5.81			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6169	100	42435.71	6.88	10313.04	1.67	35897.41	5.82			Truck	6	N/A	45.5	7.58	3.21	0.53	47.19	7.86
US 75 Southbound	0:40:00	Car	6008	100	36992.7	6.16	3626.15	0.6	37686.01	6.27			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6008	100	37011.5	6.16	3627.55	0.6	37705.69	6.28			Truck	3	N/A	18.8	6.27	1.4	0.47	19.68	6.56
Entire System	0:45:00	Car	62426	98.52	477809.88	7.65	95850.74	1.54	287073.56	4.6			Bus	0	0	0	0	0	0	0	0			Rail	938	1.48	9269.3	9.88	699.98	0.75	8991.71	9.59			Park and Ride	0	0	0	0	0	0	0	0			Total	63364	100	487677.69	7.7	96684.41	1.53	296387.47	4.68			Truck	11	N/A	598.5	54.41	133.68	12.15	322.04	29.28
Greenville Ave Northbound	0:45:00	Car	4666	100	11237.49	2.41	2399.53	0.51	5473.79	1.17			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4666	100	11251.69	2.41	2403.31	0.52	5480.59	1.17			Truck	4	N/A	14.2	3.55	3.78	0.94	6.79	1.7
Greenville Ave Southbound	0:45:00	Car	3137	100	8211.4	2.62	1531.26	0.49	4198.03	1.34			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3137	100	8221	2.62	1531.99	0.49	4203.69	1.34			Truck	4	N/A	9.6	2.4	0.72	0.18	5.65	1.41
IH 635 Eastbound	0:45:00	Car	3988	100	18114.3	4.54	3851.58	0.97	16330.07	4.09			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3988	100	18114.3	4.54	3851.58	0.97	16330.07	4.09			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	0:45:00	Car	2829	100	9490.21	3.35	566.1	0.2	10156.3	3.59			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2829	100	9490.21	3.35	566.1	0.2	10156.3	3.59			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	0:45:00	Car	713	100	2331.2	3.27	128.45	0.18	2537.61	3.56			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	713	100	2331.2	3.27	128.45	0.18	2537.61	3.56			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	0:45:00	Car	1134	100	3976.2	3.51	253.91	0.22	4252.15	3.75			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1134	100	3976.2	3.51	253.91	0.22	4252.15	3.75			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	0:45:00	Car	11381	100	17754.3	1.56	4577.45	0.4	8959.98	0.79			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11381	100	17785	1.56	4584.42	0.4	8976.7	0.79			Truck	14	N/A	30.7	2.19	6.97	0.5	16.72	1.19
US 75 Frontage Rd Southbound	0:45:00	Car	11354	100	17613.8	1.55	3658.46	0.32	9288.32	0.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11354	100	17648.6	1.55	3664.03	0.32	9308.17	0.82			Truck	11	N/A	34.8	3.16	5.57	0.51	19.85	1.8
US 75 HOV Northbound	0:45:00	Car	100	100	620.2	6.2	15.41	0.15	628.45	6.28			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	100	100	620.2	6.2	15.41	0.15	628.45	6.28			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	0:45:00	Car	84	100	530.2	6.31	18.53	0.22	535.82	6.38			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	84	100	530.2	6.31	18.53	0.22	535.82	6.38			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	0:45:00	Car	6402	100	43239.03	6.75	10249.16	1.6	36892.84	5.76			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6402	100	43290.23	6.76	10252.7	1.6	36946.01	5.77			Truck	5	N/A	51.2	10.24	3.54	0.71	53.17	10.63
US 75 Southbound	0:45:00	Car	6172	100	37720.02	6.11	3714.7	0.6	38418.81	6.22			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6172	100	37740.32	6.11	3716.27	0.6	38439.91	6.23			Truck	2	N/A	20.3	10.15	1.57	0.79	21.1	10.55
Entire System	0:50:00	Car	62920	98.45	481951.25	7.66	96983.6	1.54	289201.44	4.6			Bus	0	0	0	0	0	0	0	0			Rail	993	1.55	9273.2	9.34	694.14	0.7	9000.12	9.06			Park and Ride	0	0	0	0	0	0	0	0			Total	63913	100	491839.84	7.7	97816.23	1.53	298533.84	4.67			Truck	15	N/A	615.5	41.03	138.5	9.23	332.21	22.15
Greenville Ave Northbound	0:50:00	Car	4651	100	12173.29	2.62	2709.41	0.58	5893.23	1.27			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4651	100	12189.79	2.62	2713.76	0.58	5900.99	1.27			Truck	5	N/A	16.5	3.3	4.35	0.87	7.76	1.55
Greenville Ave Southbound	0:50:00	Car	3165	100	8182.19	2.59	1510.76	0.48	4199.3	1.33			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3165	100	8198.59	2.59	1511.85	0.48	4208.61	1.33			Truck	7	N/A	16.4	2.34	1.1	0.16	9.31	1.33
IH 635 Eastbound	0:50:00	Car	4002	100	18399.3	4.6	4023.34	1.01	16456.86	4.11			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4002	100	18399.3	4.6	4023.34	1.01	16456.86	4.11			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	0:50:00	Car	2881	100	9639.11	3.35	579.97	0.2	10334.96	3.59			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2881	100	9639.11	3.35	579.97	0.2	10334.96	3.59			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	0:50:00	Car	718	100	2307.1	3.21	125.51	0.17	2514.08	3.5			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	718	100	2307.1	3.21	125.51	0.17	2514.08	3.5			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	0:50:00	Car	1127	100	3915.3	3.47	247.76	0.22	4186.72	3.71			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1127	100	3915.3	3.47	247.76	0.22	4186.72	3.71			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	0:50:00	Car	11334	100	18159.48	1.6	4875.48	0.43	9031.78	0.8			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11334	100	18199.88	1.61	4887.42	0.43	9051.4	0.8			Truck	14	N/A	40.4	2.89	11.94	0.85	19.62	1.4
US 75 Frontage Rd Southbound	0:50:00	Car	11409	100	17811.81	1.56	3842.32	0.34	9306.5	0.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11409	100	17846.01	1.56	3848.3	0.34	9325.66	0.82			Truck	11	N/A	34.2	3.11	5.99	0.54	19.16	1.74
US 75 HOV Northbound	0:50:00	Car	106	100	666.4	6.29	16.51	0.16	673.66	6.36			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	106	100	666.4	6.29	16.51	0.16	673.66	6.36			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	0:50:00	Car	80	100	548	6.85	19.64	0.25	551.74	6.9			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	80	100	548	6.85	19.64	0.25	551.74	6.9			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	0:50:00	Car	6366	100	43021.51	6.76	9850.74	1.55	37077.3	5.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6366	100	43072.42	6.77	9854.42	1.55	37129.84	5.83			Truck	7	N/A	50.9	7.27	3.68	0.53	52.53	7.5
