			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
Greenville Ave Southbound	0:45:00	Car	3136	100	8211.7	2.62	1531.26	0.49	4198.61	1.34			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3136	100	8221.3	2.62	1532.12	0.49	4204.18	1.34			Truck	4	N/A	9.6	2.4	0.85	0.21	5.57	1.39
IH 635 Eastbound	0:45:00	Car	3990	100	18123.4	4.54	3850.19	0.96	16341.8	4.1			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3990	100	18123.4	4.54	3850.19	0.96	16341.8	4.1			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	0:45:00	Car	2823	100	9484.11	3.36	565.02	0.2	10151.41	3.6			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2823	100	9484.11	3.36	565.02	0.2	10151.41	3.6			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	0:45:00	Car	713	100	2331.1	3.27	128.41	0.18	2537.6	3.56			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	713	100	2331.1	3.27	128.41	0.18	2537.6	3.56			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	0:45:00	Car	1134	100	3975.5	3.51	253.56	0.22	4251.92	3.75			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1134	100	3975.5	3.51	253.56	0.22	4251.92	3.75			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	0:45:00	Car	11380	100	17725.31	1.56	4564.16	0.4	8949.49	0.79			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11380	100	17754.31	1.56	4571.3	0.4	8964.87	0.79			Truck	14	N/A	29	2.07	7.14	0.51	15.39	1.1
US 75 Frontage Rd Southbound	0:45:00	Car	11352	100	17509.71	1.54	3550.07	0.31	9290.27	0.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11352	100	17544.52	1.55	3555.68	0.31	9310.08	0.82			Truck	11	N/A	34.8	3.16	5.6	0.51	19.81	1.8
US 75 HOV Northbound	0:45:00	Car	100	100	621.2	6.21	15.49	0.15	629.66	6.3			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	100	100	621.2	6.21	15.49	0.15	629.66	6.3			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	0:45:00	Car	84	100	530.2	6.31	18.53	0.22	535.82	6.38			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	84	100	530.2	6.31	18.53	0.22	535.82	6.38			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	0:45:00	Car	6402	100	43240.82	6.75	10247.93	1.6	36896.33	5.76			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6402	100	43292.02	6.76	10251.47	1.6	36949.5	5.77			Truck	5	N/A	51.2	10.24	3.54	0.71	53.17	10.63
US 75 Southbound	0:45:00	Car	6173	100	37728.32	6.11	3712.29	0.6	38429.7	6.23			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6173	100	37748.62	6.12	3713.88	0.6	38450.81	6.23			Truck	2	N/A	20.3	10.15	1.59	0.79	21.1	10.55
Entire System	0:50:00	Car	62920	98.45	481949.25	7.66	96809.37	1.54	289315.91	4.6			Bus	0	0	0	0	0	0	0	0			Rail	993	1.55	9276.6	9.34	694.17	0.7	9003.51	9.07			Park and Ride	0	0	0	0	0	0	0	0			Total	63913	100	491841.41	7.7	97641.05	1.53	298652.28	4.67			Truck	15	N/A	615.5	41.03	137.51	9.17	332.66	22.18
Greenville Ave Northbound	0:50:00	Car	4668	100	12182.8	2.61	2708.09	0.58	5898.51	1.26			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4668	100	12199	2.61	2712.12	0.58	5906.27	1.27			Truck	5	N/A	16.2	3.24	4.02	0.8	7.76	1.55
Greenville Ave Southbound	0:50:00	Car	3179	100	8197.09	2.58	1513.96	0.48	4206.72	1.32			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3179	100	8214.49	2.58	1516.09	0.48	4216.03	1.33			Truck	7	N/A	17.4	2.49	2.13	0.3	9.3	1.33
IH 635 Eastbound	0:50:00	Car	4002	100	18401.91	4.6	4020.58	1	16462.36	4.11			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4002	100	18401.91	4.6	4020.58	1	16462.36	4.11			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	0:50:00	Car	2882	100	9638.11	3.34	578.16	0.2	10336.17	3.59			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2882	100	9638.11	3.34	578.16	0.2	10336.17	3.59			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	0:50:00	Car	718	100	2307.3	3.21	125.53	0.17	2514.21	3.5			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	718	100	2307.3	3.21	125.53	0.17	2514.21	3.5			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	0:50:00	Car	1126	100	3914.4	3.48	247.46	0.22	4186.26	3.72			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1126	100	3914.4	3.48	247.46	0.22	4186.26	3.72			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	0:50:00	Car	11331	100	18056.2	1.59	4767.32	0.42	9035.7	0.8			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11331	100	18096.49	1.6	4779.19	0.42	9055.32	0.8			Truck	14	N/A	40.3	2.88	11.88	0.85	19.62	1.4
US 75 Frontage Rd Southbound	0:50:00	Car	11415	100	17723.12	1.55	3737.91	0.33	9315.65	0.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11415	100	17756.12	1.56	3742.75	0.33	9334.82	0.82			Truck	11	N/A	33	3	4.84	0.44	19.16	1.74
US 75 HOV Northbound	0:50:00	Car	106	100	667.2	6.29	16.41	0.15	674.79	6.37			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	106	100	667.2	6.29	16.41	0.15	674.79	6.37			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	0:50:00	Car	80	100	548	6.85	19.51	0.24	551.81	6.9			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	80	100	548	6.85	19.51	0.24	551.81	6.9			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	0:50:00	Car	6370	100	43029.6	6.76	9850.44	1.55	37088.3	5.82			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6370	100	43080.41	6.76	9853.97	1.55	37140.82	5.83			Truck	7	N/A	50.8	7.26	3.53	0.5	52.52	7.5
US 75 Southbound	0:50:00	Car	6261	100	37931.11	6.06	3708.97	0.59	38672.67	6.18			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6261	100	37955.41	6.06	3710.8	0.59	38697.9	6.18			Truck	3	N/A	24.3	8.1	1.83	0.61	25.23	8.41
Entire System	0:55:00	Car	63065	98.44	482409	7.65	96233.78	1.53	290004.56	4.6			Bus	0	0	0	0	0	0	0	0			Rail	997	1.56	9263.59	9.29	697.94	0.7	8989.91	9.02			Park and Ride	0	0	0	0	0	0	0	0			Total	64062	100	492288.62	7.68	97072.72	1.52	299326.56	4.67			Truck	15	N/A	615.9	41.06	141	9.4	331.98	22.13
