			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
US 75 Frontage Rd Northbound	1:15:00	Car	12169	100	19132.6	1.57	5352.83	0.44	9349.21	0.77			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	12169	100	19174.6	1.58	5366.87	0.44	9368.92	0.77			Truck	20	N/A	42	2.1	14.04	0.7	19.71	0.99
US 75 Frontage Rd Southbound	1:15:00	Car	11349	100	17552.92	1.55	4014.39	0.35	9003.19	0.79			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11349	100	17586.42	1.55	4020.89	0.35	9022.11	0.79			Truck	16	N/A	33.5	2.09	6.5	0.41	18.92	1.18
US 75 HOV Northbound	1:15:00	Car	104	100	548.2	5.27	13.01	0.13	565.1	5.43			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	104	100	548.2	5.27	13.01	0.13	565.1	5.43			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	1:15:00	Car	64	100	402.6	6.29	15.32	0.24	407.13	6.36			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	64	100	402.6	6.29	15.32	0.24	407.13	6.36			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	1:15:00	Car	7192	100	47167.1	6.56	10431.43	1.45	41204.53	5.73			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	7192	100	47208.9	6.56	10436.16	1.45	41246	5.73			Truck	6	N/A	41.8	6.97	4.73	0.79	41.47	6.91
US 75 Southbound	1:15:00	Car	6293	100	38915.12	6.18	3656.1	0.58	39941.98	6.35			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6293	100	38969.02	6.19	3659.82	0.58	39998.95	6.36			Truck	9	N/A	53.9	5.99	3.72	0.41	56.96	6.33
Entire System	1:20:00	Car	63836	98.29	488723.84	7.66	102320.92	1.6	294269.75	4.61			Bus	0	0	0	0	0	0	0	0			Rail	1111	1.71	10593.21	9.53	744.29	0.67	10327.06	9.3			Park and Ride	0	0	0	0	0	0	0	0			Total	64947	100	500105.69	7.7	103244.52	1.59	305018.12	4.7			Truck	24	N/A	788.4	32.85	179.3	7.47	421.53	17.56
Greenville Ave Northbound	1:20:00	Car	4931	100	12466	2.53	2877.3	0.58	6001.89	1.22			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4931	100	12481.8	2.53	2880.74	0.58	6009.64	1.22			Truck	7	N/A	15.8	2.26	3.44	0.49	7.75	1.11
Greenville Ave Southbound	1:20:00	Car	3019	100	7049.9	2.34	1303.43	0.43	3619.41	1.2			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3019	100	7078.2	2.34	1310.72	0.43	3632.59	1.2			Truck	10	N/A	28.3	2.83	7.29	0.73	13.18	1.32
IH 635 Eastbound	1:20:00	Car	4379	100	23195.12	5.3	7325.69	1.67	18114.21	4.14			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4379	100	23195.12	5.3	7325.69	1.67	18114.21	4.14			Truck	0	N/A	0	0	0	0	0	0
